code,gana,gana_name,dhatu_slp1,dhatu_iast,dhatu_deva,artha_slp1,artha_iast,artha_deva,core_root
02.0057,2,adādi,mA\,mā,मा,mAne,māne,माने,mA
03.0007,3,juhotyādi,mA\N,māṅ,माङ्,mAne Sabde ca,māne śabde ca,माने शब्दे च,mA
04.0037,4,divādi,mA\N,māṅ,माङ्,mAne,māne,माने,mA
01.0721,1,bhvādi,mahi~\,mahi,महि,vfdDO,vṛddhau,वृद्धौ,mah
01.0831,1,bhvādi,maha~,maha,मह,pUjAyAm,pūjāyām,पूजायाम्,mah
10.0330,10,curādi,mahi~,mahi,महि,BAzAyAm,bhāṣāyām,भाषायाम्,mah
10.0406,10,curādi,maha,maha,मह,pUjAyAm,pūjāyām,पूजायाम्,mah
04.0073,4,divādi,ma\na~\,mana,मन,jYAne,jñāne,ज्ञाने,man
08.0009,8,tanādi,manu~\,manu,मनु,avaboDane,avabodhane,अवबोधने,man
10.0234,10,curādi,mana~,mana,मन,stamBe,stambhe,स्तम्भे,man
01.0044,1,bhvādi,maTi~,mathi,मथि,hiMsAsaNkleSanayoH,hiṃsāsaṅkleśanayoḥ,हिंसासङ्क्लेशनयोः,manT
01.0048,1,bhvādi,manTa~,mantha,मन्थ,viloqane,viloḍane,विलोडने,manT
09.0047,9,kryādi,manTa~,mantha,मन्थ,viloqane,viloḍane,विलोडने,manT
01.0804,1,bhvādi,mfzu~,mṛṣu,मृषु,secane sahane ca,secane sahane ca,सेचने सहने च,mf
06.0139,6,tudādi,mf\N,mṛṅ,मृङ्,prARatyAge,prāṇatyāge,प्राणत्यागे,mf
02.0061,2,adādi,mfjU~,mṛjū,मृजू,SudDO,śuddhau,शुद्धौ,mfj
10.0386,10,curādi,mfjU~,mṛjū,मृजू,SOcAlaNkArayoH,śaucālaṅkārayoḥ,शौचालङ्कारयोः,mfj
06.0161,6,tudādi,mf\Sa~,mṛśa,मृश,AmarSane,āmarśane,आमर्शने,mfS
01.0196,1,bhvādi,muci~\,muci,मुचि,kalkane kaTane ca,kalkane kathane ca,कल्कने कथने च,muc
06.0166,6,tudādi,mu\cx~^,mucḷ,मुचॢ,mokzaRe,mokṣaṇe,मोक्षणे,muc
10.0272,10,curādi,muca~,muca,मुच,pramocane modane ca,pramocane modane ca,प्रमोचने मोदने च,muc
01.0016,1,bhvādi,muda~\,muda,मुद,harze,harṣe,हर्षे,mud
10.0268,10,curādi,muda~,muda,मुद,saMsarge,saṃsarge,संसर्गे,mud
01.1136,1,bhvādi,Ra\ma~,ṇama,णम,prahvatve Sabde ca,prahvatve śabde ca,प्रह्वत्वे शब्दे च,nam
04.0091,4,divādi,Ra\Sa~,ṇaśa,णश,adarSane,adarśane,अदर्शने,naS
04.0010,4,divādi,nftI~,nṛtī,नृती,gAtravikzepe,gātravikṣepe,गात्रविक्षेपे,nft
01.1049,1,bhvādi,RI\Y,ṇīñ,णीञ्,prApaRe,prāpaṇe,प्रापणे,nI
01.1074,1,bhvādi,pA\,pā,पा,pAne,pāne,पाने,pA
02.0051,2,adādi,pA\,pā,पा,rakzaRe,rakṣaṇe,रक्षणे,pA
01.0198,1,bhvādi,paci~\,paci,पचि,vyaktIkaraRe,vyaktīkaraṇe,व्यक्तीकरणे,pac
01.1151,1,bhvādi,qupa\ca~^z,ḍupacaṣ,डुपचष्,pAke,pāke,पाके,pac
10.0153,10,curādi,paci~,paci,पचि,vistAravacane,vistāravacane,विस्तारवचने,pac
10.0098,10,curādi,pAla~,pāla,पाल,rakzaRe,rakṣaṇe,रक्षणे,pAl
01.0979,1,bhvādi,patx~,patḷ,पतॢ,gatO,gatau,गतौ,pat
01.0982,1,bhvādi,paTe~,pathe,पथे,gatO,gatau,गतौ,paT
10.0029,10,curādi,paTa~,patha,पथ,prakzepe,prakṣepe,प्रक्षेपे,paT
10.0060,10,curādi,paTi~,pathi,पथि,gatO,gatau,गतौ,paT
10.0400,10,curādi,pata,pata,पत,gatO,gatau,गतौ,pat
01.0381,1,bhvādi,paWa~,paṭha,पठ,vyaktAyAM vAci,vyaktāyāṃ vāci,व्यक्तायां वाचि,paW
10.0394,10,curādi,paWa,paṭha,पठ,granTe vezwane ca,granthe veṣṭane ca,ग्रन्थे वेष्टने च,paW
03.0004,3,juhotyādi,pF,pṝ,पॄ,pAlanapUraRayoH,pālanapūraṇayoḥ,पालनपूरणयोः,pF
09.0022,9,kryādi,pF,pṝ,पॄ,pAlanapUraRayoH,pālanapūraṇayoḥ,पालनपूरणयोः,pF
10.0022,10,curādi,pF,pṝ,पॄ,pUraRe,pūraṇe,पूरणे,pF
10.0017,10,curādi,pIqa~,pīḍa,पीड,avagAhane,avagāhane,अवगाहने,pIq
06.0149,6,tudādi,pra\Ca~,pracha,प्रछ,jYIpsAyAm,jñīpsāyām,ज्ञीप्सायाम्,pracC
10.0144,10,curādi,pUja~,pūja,पूज,pUjAyAm,pūjāyām,पूजायाम्,pUj
01.0797,1,bhvādi,puza~,puṣa,पुष,puzwO,puṣṭau,पुष्टौ,puz
04.0079,4,divādi,pu\za~,puṣa,पुष,puzwO,puṣṭau,पुष्टौ,puz
04.0121,4,divādi,puza~,puṣa,पुष,viBAge,vibhāge,विभागे,puz
09.0065,9,kryādi,puza~,puṣa,पुष,puzwO,puṣṭau,पुष्टौ,puz
10.0280,10,curādi,puza~,puṣa,पुष,DAraRe,dhāraṇe,धारणे,puz
02.0052,2,adādi,rA\,rā,रा,dAne,dāne,दाने,rA
01.0746,1,bhvādi,rakza~,rakṣa,रक्ष,pAlane,pālane,पालने,rakz
01.0953,1,bhvādi,ra\ma~\,rama,रम,krIqAyAm,krīḍāyām,क्रीडायाम्,ram
01.0989,1,bhvādi,ra\mu~\,ramu,रमु,krIqAyAm,krīḍāyām,क्रीडायाम्,ram
01.0847,1,bhvādi,ruca~\,ruca,रुच,dIptAvaBiprItO ca,dīptāvabhiprītau ca,दीप्तावभिप्रीतौ च,ruc
02.0062,2,adādi,rudi~r,rudir,रुदिर्,aSruvimocane,aśruvimocane,अश्रुविमोचने,rud
04.0070,4,divādi,ru\Da~\,rudha,रुध,kAme,kāme,कामे,ruD
07.0001,7,rudhādi,ru\Di~^r,rudhir,रुधिर्,AvaraRe,āvaraṇe,आवरणे,ruD
01.0995,1,bhvādi,ru\ha~,ruha,रुह,bIjajanmani prAdurBAve ca,bījajanmani prādurbhāve ca,बीजजन्मनि प्रादुर्भावे च,ruh
01.0990,1,bhvādi,za\dx~,ṣadḷ,षदॢ,viSaraRagatyavasAdanezu,viśaraṇagatyavasādaneṣu,विशरणगत्यवसादनेषु,sad
06.0163,6,tudādi,za\dx~,ṣadḷ,षदॢ,viSaraRagatyavasAdanezu,viśaraṇagatyavasādaneṣu,विशरणगत्यवसादनेषु,sad
10.0368,10,curādi,za\da~,ṣada,षद,padyarTe,padyarthe,पद्यर्थे,sad
01.0988,1,bhvādi,zaha~\,ṣaha,षह,marzaRe,marṣaṇe,मर्षणे,sah
04.0023,4,divādi,zaha~,ṣaha,षह,cakyarTe,cakyarthe,चक्यर्थे,sah
10.0341,10,curādi,zaha~,ṣaha,षह,marzaRe,marṣaṇe,मर्षणे,sah
01.0091,1,bhvādi,Saki~\,śaki,शकि,SaNkAyAm,śaṅkāyām,शङ्कायाम्,Sak
04.0084,4,divādi,Sa\ka~^,śaka,शक,marzaRe,marṣaṇe,मर्षणे,Sak
05.0017,5,svādi,Sa\kx~,śakḷ,शकॢ,SaktO,śaktau,शक्तौ,Sak
01.0929,1,bhvādi,Samo~,śamo,शमो,darSane,darśane,दर्शने,Sam
04.0098,4,divādi,Samu~,śamu,शमु,upaSame,upaśame,उपशमे,Sam
10.0218,10,curādi,Sama~,śama,शम,Alocane,ālocane,आलोचने,Sam
01.0716,1,bhvādi,Sasi~\,śasi,शसि,icCAyAm,icchāyām,इच्छायाम्,SaMs
01.1155,1,bhvādi,Sa\pa~^,śapa,शप,AkroSe,ākrośe,आक्रोशे,Sap
04.0064,4,divādi,Sa\pa~^,śapa,शप,AkroSe,ākrośe,आक्रोशे,Sap
02.0012,2,adādi,SAsu~\,śāsu,शासु,icCAyAm,icchāyām,इच्छायाम्,SAs
02.0070,2,adādi,SAsu~,śāsu,शासु,anuSizwO,anuśiṣṭau,अनुशिष्टौ,SAs
01.0574,1,bhvādi,zevf~\,ṣevṛ,षेवृ,sevane,sevane,सेवने,sev
04.0075,4,divādi,sf\ja~\,sṛja,सृज,visarge,visarge,विसर्गे,sfj
06.0150,6,tudādi,sf\ja~,sṛja,सृज,visarge,visarge,विसर्गे,sfj
01.0078,1,bhvādi,SIkf~\,śīkṛ,शीकृ,secane,secane,सेचने,SI
02.0026,2,adādi,SIN,śīṅ,शीङ्,svapne,svapne,स्वप्ने,SI
01.0799,1,bhvādi,Slizu~,śliṣu,श्लिषु,dAhe,dāhe,दाहे,Sliz
04.0083,4,divādi,Sli\za~,śliṣa,श्लिष,AliNgane,āliṅgane,आलिङ्गने,Sliz
10.0059,10,curādi,Sliza~,śliṣa,श्लिष,SlezaRe,śleṣaṇe,श्लेषणे,Sliz
01.0919,1,bhvādi,smf\,smṛ,स्मृ,ADyAne,ādhyāne,आध्याने,smf
01.1082,1,bhvādi,smf\,smṛ,स्मृ,cintAyAm,cintāyām,चिन्तायाम्,smf
05.0015,5,svādi,smf\,smṛ,स्मृ,prItibalanayoH,prītibalanayoḥ,प्रीतिबलनयोः,smf
