first_slp1,second_slp1,result_slp1,first_iast,second_iast,result_iast,category,sandhi_name,sutra
as,o,a o,as,o,a o,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
as,O,a O,as,au,a au,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
as,k,aH k,as,k,aḥ k,hal-sandhi (consonant),visarga,8.3.15 KaravasAnayor visarjanIyaH
as,K,aH K,as,kh,aḥ kh,hal-sandhi (consonant),visarga,8.3.15 KaravasAnayor visarjanIyaH
as,g,o g,as,g,o g,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
as,G,o G,as,gh,o gh,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
as,N,o N,as,ṅ,o ṅ,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
as,c,aS c,as,c,aś c,hal-sandhi (consonant),visarga→Scutva (S),8.3.34 + 8.4.40
as,C,aS C,as,ch,aś ch,hal-sandhi (consonant),visarga→Scutva (S),8.3.34 + 8.4.40
as,j,o j,as,j,o j,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
as,J,o J,as,jh,o jh,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
as,Y,o Y,as,ñ,o ñ,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
as,w,az w,as,ṭ,aṣ ṭ,hal-sandhi (consonant),visarga→zwutva (z),8.3.34 + 8.4.41
as,W,az W,as,ṭh,aṣ ṭh,hal-sandhi (consonant),visarga→zwutva (z),8.3.34 + 8.4.41
as,q,o q,as,ḍ,o ḍ,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
as,Q,o Q,as,ḍh,o ḍh,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
as,R,o R,as,ṇ,o ṇ,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
as,t,as t,as,t,as t,hal-sandhi (consonant),satva (s retained),8.3.34 visarjanIyasya saH
as,T,as T,as,th,as th,hal-sandhi (consonant),satva (s retained),8.3.34 visarjanIyasya saH
as,d,o d,as,d,o d,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
as,D,o D,as,dh,o dh,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
as,n,o n,as,n,o n,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
as,p,aH p,as,p,aḥ p,hal-sandhi (consonant),visarga,8.3.15 KaravasAnayor visarjanIyaH
as,P,aH P,as,ph,aḥ ph,hal-sandhi (consonant),visarga,8.3.15 KaravasAnayor visarjanIyaH
as,b,o b,as,b,o b,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
as,B,o B,as,bh,o bh,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
as,m,o m,as,m,o m,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
as,y,o y,as,y,o y,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
as,r,o r,as,r,o r,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
as,l,o l,as,l,o l,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
as,v,o v,as,v,o v,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
as,S,aH S,as,ś,aḥ ś,hal-sandhi (consonant),visarga,8.3.15 KaravasAnayor visarjanIyaH
as,z,aH z,as,ṣ,aḥ ṣ,hal-sandhi (consonant),visarga,8.3.15 KaravasAnayor visarjanIyaH
as,s,aH s,as,s,aḥ s,hal-sandhi (consonant),visarga,8.3.15 KaravasAnayor visarjanIyaH
as,h,o h,as,h,o h,hal-sandhi (consonant),utva+guRa (aH→o),6.1.113–114 + 6.1.87
As,a,A a,ās,a,ā a,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,A,A A,ās,ā,ā ā,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,i,A i,ās,i,ā i,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,I,A I,ās,ī,ā ī,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,u,A u,ās,u,ā u,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,U,A U,ās,ū,ā ū,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,f,A f,ās,ṛ,ā ṛ,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,F,A F,ās,ṝ,ā ṝ,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,x,A x,ās,ḷ,ā ḷ,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,X,A X,ās,ḹ,ā ḹ,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,e,A e,ās,e,ā e,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,E,A E,ās,ai,ā ai,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
